City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bengkulu,ID,2022-05-22 18:30:35,-3.8004,102.2655,76.19,90,28,3.78,moderate rain
1,Ribeira Grande,PT,2022-05-22 18:30:36,38.5167,-28.7,64.8,100,75,2.3,light intensity drizzle
2,Touros,BR,2022-05-22 18:30:36,-5.1989,-35.4608,79.3,85,24,13.62,few clouds
3,Ambovombe,MG,2022-05-22 18:30:36,-25.1667,46.0833,68.07,77,15,6.69,few clouds
4,Cape Town,ZA,2022-05-22 18:28:48,-33.9258,18.4232,60.12,83,0,5.75,clear sky
5,Butaritari,KI,2022-05-22 18:30:37,3.0707,172.7902,81.34,79,59,10.8,light rain
6,Tibu,CO,2022-05-22 18:30:38,8.639,-72.7358,95.09,39,0,4.65,clear sky
7,Saint-Philippe,RE,2022-05-22 18:30:38,-21.3585,55.7679,71.19,76,38,11.23,scattered clouds
8,Hofn,IS,2022-05-22 18:30:39,64.2539,-15.2082,53.62,54,75,20.71,broken clouds
9,Busselton,AU,2022-05-22 18:30:39,-33.65,115.3333,61.27,67,65,23.49,broken clouds
10,Saint George,US,2022-05-22 18:30:40,37.1041,-113.5841,83.62,10,0,5.75,clear sky
11,Rikitea,PF,2022-05-22 18:30:40,-23.1203,-134.9692,75.85,76,2,13.69,clear sky
12,Buraydah,SA,2022-05-22 18:30:40,26.326,43.975,97.25,8,1,16.67,clear sky
13,Codrington,AU,2022-05-22 18:30:41,-38.2667,141.9667,43.59,95,4,7.72,clear sky
14,Punta Arenas,CL,2022-05-22 18:27:28,-53.15,-70.9167,39.31,70,40,9.22,scattered clouds
15,Hithadhoo,MV,2022-05-22 18:30:42,-0.6,73.0833,83.86,72,90,11.77,overcast clouds
16,Bredasdorp,ZA,2022-05-22 18:30:42,-34.5322,20.0403,56.37,90,38,5.41,scattered clouds
17,Carnarvon,AU,2022-05-22 18:30:43,-24.8667,113.6333,70.86,57,33,18.01,scattered clouds
