City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Joseph,RE,2022-05-22 00:55:26,-21.3667,55.6167,68.38,75,19,9.86
1,Timmins,CA,2022-05-22 00:55:27,48.4669,-81.3331,44.42,70,100,9.22
2,Rikitea,PF,2022-05-22 00:55:27,-23.1203,-134.9692,75.81,74,1,11.48
3,Severo-Kurilsk,RU,2022-05-22 00:53:58,50.6789,156.125,46.18,87,68,8.14
4,Mareeba,AU,2022-05-22 00:55:28,-17.0,145.4333,78.48,77,50,3.51
5,San Carlos,VE,2022-05-22 00:54:01,9.6612,-68.5827,81.52,53,85,2.75
6,Novoagansk,RU,2022-05-22 00:55:29,61.9449,76.6625,43.65,82,98,9.46
7,Saint-Philippe,RE,2022-05-22 00:55:29,-21.3585,55.7679,69.39,75,38,8.25
8,Tuktoyaktuk,CA,2022-05-22 00:55:30,69.4541,-133.0374,28.4,69,75,10.36
9,San Cristobal,VE,2022-05-22 00:55:31,7.7669,-72.225,75.38,83,9,3.27
10,Ustupo,PA,2022-05-22 00:55:32,9.1333,-77.9333,79.39,86,20,3.38
11,Narsaq,GL,2022-05-22 00:55:32,60.9167,-46.05,38.19,77,100,3.8
12,Kusa,RU,2022-05-22 00:55:33,55.3383,59.4406,34.63,94,100,10.16
13,Bethel,US,2022-05-22 00:55:33,41.3712,-73.414,80.47,76,2,4.65
14,Ponta Delgada,PT,2022-05-22 00:55:34,37.7333,-25.6667,65.12,94,75,6.91
15,Hasaki,JP,2022-05-22 00:55:35,35.7333,140.8333,64.8,82,99,18.77
16,Longyearbyen,SJ,2022-05-22 00:55:35,78.2186,15.6401,35.44,80,75,11.5
17,Margate,GB,2022-05-22 00:55:36,51.3813,1.3862,53.69,82,7,7.02
18,Hay River,CA,2022-05-22 00:55:37,60.8156,-115.7999,53.58,50,75,8.05
19,Oranjemund,NA,2022-05-22 00:55:37,-28.55,16.4333,50.97,86,6,5.08
20,Coquimbo,CL,2022-05-22 00:55:38,-29.9533,-71.3436,56.93,100,0,6.91
21,Asfi,MA,2022-05-22 00:55:39,32.2994,-9.2372,64.87,88,80,11.72
22,Vestmannaeyjar,IS,2022-05-22 00:55:41,63.4427,-20.2734,49.12,82,27,8.08
23,Avarua,CK,2022-05-22 00:55:42,-21.2078,-159.775,77.05,83,75,4.61
24,Alice Springs,AU,2022-05-22 00:55:42,-23.7,133.8833,60.35,41,0,2.3
25,Bredasdorp,ZA,2022-05-22 00:55:43,-34.5322,20.0403,51.84,86,50,5.99
26,Albany,US,2022-05-22 00:55:44,42.6001,-73.9662,79.59,73,35,3.09
27,Cabo San Lucas,MX,2022-05-22 00:55:44,22.8909,-109.9124,80.62,68,4,12.57
28,Mataura,NZ,2022-05-22 00:55:44,-46.1927,168.8643,45.73,93,100,10.36
29,Forestville,US,2022-05-22 00:55:45,38.8451,-76.875,86.86,64,0,6.91
